0.923	13	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-F&forced_prediCAT_snn50_kyn%0.5-T&pHMM_gly%0.5-T&pid%60.43-T&pid%56.865-T&pid%44.71-F&pHMM_phe%0.5-T&LEAF_NODE-203
1.000	10	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-F&pid%69.33-T&pid%66.74-T&pid%54.525-T&LEAF_NODE-217
1.000	18	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-F&forced_prediCAT_snn50_dhab|dht%0.5-T&forced_prediCAT_snn50_dhabu%0.5-T&forced_prediCAT_snn50_d-athr%0.5-T&forced_prediCAT_snn50_deoxy-thr%0.5-T&pid%78.255-F&pid%99.815-F&prediCAT_thr%0.5-F&pHMM_thr%0.5-T&LEAF_NODE-373
1.000	12	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-T&svm_trp%0.5-T&svm_aad%0.5-T&svm_bht%0.5-T&forced_prediCAT_snn50_dab%0.5-T&svm_gln%0.5-T&forced_prediCAT_snn50_lys%0.5-T&svm_arg%0.5-T&svm_pip%0.5-T&pHMM_dhb%0.5-T&pHMM_horn%0.5-T&svm_iva%0.5-T&forced_prediCAT_snn50_val%0.5-T&svm_lys%0.5-T&pHMM_orn%0.5-T&pHMM_me-asp%0.5-T&forced_prediCAT_snn50_phe-ac%0.5-T&forced_prediCAT_snn50_ala%0.5-T&forced_prediCAT_snn50_pro%0.5-T&pHMM_cys%0.5-F&pid%52.86-T&LEAF_NODE-85
1.000	18	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-F&pid%39.865-F&pid%51.875-T&pid%50.045-F&LEAF_NODE-296
1.000	78	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-F&forced_prediCAT_snn50_kyn%0.5-T&pHMM_gly%0.5-T&pid%60.43-F&pid%91.94-T&LEAF_NODE-209
1.000	123	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-F&forced_prediCAT_snn50_dhab|dht%0.5-T&forced_prediCAT_snn50_dhabu%0.5-T&forced_prediCAT_snn50_d-athr%0.5-T&forced_prediCAT_snn50_deoxy-thr%0.5-T&pid%78.255-F&pid%99.815-T&LEAF_NODE-369
1.000	62	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-F&pid%39.865-F&pid%51.875-F&prediCAT_asp%0.5-F&pid%98.645-T&LEAF_NODE-301
0.654	81	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-T&svm_asn%0.5-T&svm_cys%0.5-T&svm_asp%0.5-T&svm_hpg%0.5-T&svm_pro%0.5-T&svm_tyr%0.5-T&svm_glu%0.5-T&svm_ile%0.5-T&forced_prediCAT_snn50_dpg%0.5-T&forced_prediCAT_snn50_orn%0.5-T&svm_phe%0.5-T&svm_trp%0.5-T&svm_aad%0.5-T&svm_bht%0.5-T&forced_prediCAT_snn50_dab%0.5-F&pid%92.375-T&forced_prediCAT_snn50_bht%0.5-T&LEAF_NODE-175
0.720	25	svm_leu%0.5-T&svm_ser%0.5-T&svm_val%0.5-T&svm_ala%0.5-T&svm_gly%0.5-T&svm_thr%0.5-F&forced_prediCAT_snn50_dhab|dht%0.5-T&forced_prediCAT_snn50_dhabu%0.5-T&forced_prediCAT_snn50_d-athr%0.5-F&pHMM_dhabu%0.5-T&LEAF_NODE-375
