#Index	Parent	Parent_Call	Decision	Threshold
421	419	T	pid	54.76
422	419	F	pHMM_leu	0.5
423	421	T	pid	46.865
424	421	F	pid	57.57
425	423	T	pid	44.89
426	423	F	pHMM_val	0.5
427	425	T	pid	41.025
428	425	F	LEAF_NODE	NA
429	427	T	pid	40.105
430	427	F	pid	44.35
431	429	T	LEAF_NODE	NA
432	429	F	LEAF_NODE	NA
433	430	T	LEAF_NODE	NA
434	430	F	LEAF_NODE	NA
435	426	T	LEAF_NODE	NA
436	426	F	pid	53.065
437	436	T	LEAF_NODE	NA
438	436	F	LEAF_NODE	NA
439	424	T	LEAF_NODE	NA
440	424	F	pid	58.8
441	440	T	LEAF_NODE	NA
442	440	F	pid	59.525
443	442	T	LEAF_NODE	NA
444	442	F	LEAF_NODE	NA
445	422	T	pid	96.685
446	422	F	LEAF_NODE	NA
447	445	T	pid	77.635
448	445	F	pid	98.885
449	447	T	pid	69.025
450	447	F	pid	79.115
451	449	T	LEAF_NODE	NA
452	449	F	pid	70.245
453	452	T	LEAF_NODE	NA
454	452	F	LEAF_NODE	NA
455	450	T	LEAF_NODE	NA
456	450	F	pHMM_val	0.5
457	456	T	pid	80.585
458	456	F	LEAF_NODE	NA
459	457	T	LEAF_NODE	NA
460	457	F	LEAF_NODE	NA
461	448	T	LEAF_NODE	NA
462	448	F	prediCAT_MP_val	0.5
463	462	T	LEAF_NODE	NA
464	462	F	LEAF_NODE	NA
465	418	T	LEAF_NODE	NA
466	418	F	pid	95.785
467	466	T	pid	95.68
468	466	F	prediCAT_MP_d-val	0.5
469	467	T	LEAF_NODE	NA
470	467	F	LEAF_NODE	NA
471	468	T	LEAF_NODE	NA
472	468	F	LEAF_NODE	NA
473	4	T	prediCAT_MP_noh-val	0.5
474	4	F	LEAF_NODE	NA
475	473	T	pHMM_noh-val	0.5
476	473	F	LEAF_NODE	NA
477	475	T	prediCAT_MP_ser	0.5
478	475	F	LEAF_NODE	NA
479	477	T	pid	59.745
480	477	F	pid	99.81
481	479	T	LEAF_NODE	NA
482	479	F	pid	61.35
483	482	T	LEAF_NODE	NA
484	482	F	pid	67.955
485	484	T	LEAF_NODE	NA
486	484	F	pid	72.585
487	486	T	LEAF_NODE	NA
488	486	F	prediCAT_SNN_ser	0.5
489	488	T	prediCAT_SNN_dpr	0.5
490	488	F	pid	90.02
491	489	T	LEAF_NODE	NA
492	489	F	LEAF_NODE	NA
493	490	T	LEAF_NODE	NA
494	490	F	LEAF_NODE	NA
495	480	T	LEAF_NODE	NA
496	480	F	pHMM_leu	0.5
497	496	T	LEAF_NODE	NA
498	496	F	LEAF_NODE	NA
499	2	T	pHMM_trp	0.5
500	2	F	pid	95.515
501	499	T	prediCAT_SNN_d-gln	0.5
502	499	F	pid	57.175
503	501	T	prediCAT_SNN_d-leu	0.5
504	501	F	LEAF_NODE	NA
505	503	T	prediCAT_MP_leu	0.5
506	503	F	LEAF_NODE	NA
507	505	T	pid	78.495
508	505	F	pid	79.86
509	507	T	pHMM_abu|iva	0.5
510	507	F	pid	81.375
511	509	T	pid	56.135
512	509	F	LEAF_NODE	NA
513	511	T	pid	47.235
514	511	F	pid	68.435
515	513	T	LEAF_NODE	NA
516	513	F	pid	51.685
517	516	T	LEAF_NODE	NA
518	516	F	LEAF_NODE	NA
519	514	T	pid	67.87
520	514	F	LEAF_NODE	NA
521	519	T	LEAF_NODE	NA
522	519	F	LEAF_NODE	NA
523	510	T	prediCAT_SNN_leu	0.5
524	510	F	pid	96.84
525	523	T	LEAF_NODE	NA
526	523	F	LEAF_NODE	NA
527	524	T	pid	83.265
528	524	F	LEAF_NODE	NA
529	527	T	LEAF_NODE	NA
530	527	F	pid	88.97
531	530	T	LEAF_NODE	NA
532	530	F	LEAF_NODE	NA
533	508	T	pid	77.75
534	508	F	pid	93.985
535	533	T	LEAF_NODE	NA
536	533	F	LEAF_NODE	NA
537	534	T	pid	90.735
538	534	F	LEAF_NODE	NA
539	537	T	LEAF_NODE	NA
540	537	F	LEAF_NODE	NA
541	502	T	LEAF_NODE	NA
542	502	F	LEAF_NODE	NA
543	500	T	LEAF_NODE	NA
544	500	F	LEAF_NODE	NA
